time,chlora
2021-03-10 00:00:20,0.0
2021-03-10 00:00:40,0.0
2021-03-10 00:01:00,0.00535
2021-03-10 00:01:20,
2021-03-10 00:01:40,
2021-03-10 00:02:00,
2021-03-10 00:02:20,
2021-03-10 00:02:40,
2021-03-10 00:03:00,
2021-03-10 00:03:20,0.002675
2021-03-10 00:03:40,0.002675
2021-03-10 00:04:00,0.0107
2021-03-10 00:04:20,0.0
2021-03-10 00:04:40,0.0107
2021-03-10 00:05:00,0.00428
2021-03-10 00:05:20,0.017833333333333333
2021-03-10 00:05:40,0.0963
2021-03-10 00:06:00,0.0
2021-03-10 00:06:20,0.0035666666666666663
2021-03-10 00:06:40,0.0
2021-03-10 00:07:00,
2021-03-10 00:07:20,
2021-03-10 00:07:40,0.0
2021-03-10 00:08:00,
2021-03-10 00:08:20,0.0
2021-03-10 00:08:40,0.0
2021-03-10 00:09:00,0.0
2021-03-10 00:09:20,0.0
2021-03-10 00:09:40,0.0
2021-03-10 00:10:00,
2021-03-10 00:10:20,0.0
2021-03-10 00:10:40,0.0035666666666666663
2021-03-10 00:11:00,0.0
2021-03-10 00:11:20,0.00535
2021-03-10 00:11:40,0.05885
2021-03-10 00:12:00,0.0
2021-03-10 00:12:20,0.0
2021-03-10 00:12:40,0.007133333333333333
2021-03-10 00:13:00,0.0
2021-03-10 00:13:20,0.0
2021-03-10 00:13:40,
2021-03-10 00:14:00,0.0
2021-03-10 00:14:20,
2021-03-10 00:14:40,0.0
2021-03-10 00:15:00,
2021-03-10 00:15:20,
2021-03-10 00:15:40,0.0
2021-03-10 00:16:00,0.0
2021-03-10 00:16:20,
2021-03-10 00:16:40,
2021-03-10 00:17:00,0.0035666666666666663
2021-03-10 00:17:20,0.0
2021-03-10 00:17:40,
2021-03-10 00:18:00,
2021-03-10 00:18:20,0.007133333333333333
2021-03-10 00:18:40,0.0535
2021-03-10 00:19:00,0.0107
2021-03-10 00:19:20,0.0
2021-03-10 00:19:40,0.0535
2021-03-10 00:20:00,
2021-03-10 00:20:20,0.0
2021-03-10 00:20:40,
2021-03-10 00:21:00,0.0
2021-03-10 00:21:20,
2021-03-10 00:21:40,0.0
2021-03-10 00:22:00,0.00214
2021-03-10 00:22:20,
2021-03-10 00:22:40,
2021-03-10 00:23:00,
2021-03-10 00:23:20,0.0
2021-03-10 00:23:40,
2021-03-10 00:24:00,0.0
2021-03-10 00:24:20,
2021-03-10 00:24:40,0.0
2021-03-10 00:25:00,
2021-03-10 00:25:20,0.0
2021-03-10 00:25:40,0.0
2021-03-10 00:26:00,0.0
2021-03-10 00:26:20,0.0321
2021-03-10 00:26:40,0.007133333333333333
2021-03-10 00:27:00,
2021-03-10 00:27:20,0.0
2021-03-10 00:27:40,0.0
2021-03-10 00:28:00,0.0
2021-03-10 00:28:20,0.0
2021-03-10 00:28:40,0.0107
2021-03-10 00:29:00,
2021-03-10 00:29:20,0.0
2021-03-10 00:29:40,
2021-03-10 00:30:00,0.0214
2021-03-10 00:30:20,0.0
2021-03-10 00:30:40,
2021-03-10 00:31:00,0.0
2021-03-10 00:31:20,
2021-03-10 00:31:40,
2021-03-10 00:32:00,
2021-03-10 00:32:20,
2021-03-10 00:32:40,
2021-03-10 00:33:00,
2021-03-10 00:33:20,0.00535
2021-03-10 00:33:40,0.007133333333333333
2021-03-10 00:34:00,0.0
2021-03-10 00:34:20,0.00535
2021-03-10 00:34:40,0.00535
2021-03-10 00:35:00,0.0035666666666666663
2021-03-10 00:35:20,0.0
2021-03-10 00:35:40,0.0107
2021-03-10 00:36:00,0.00535
2021-03-10 00:36:20,0.00535
2021-03-10 00:36:40,0.0
2021-03-10 00:37:00,0.0
2021-03-10 00:37:20,0.0
2021-03-10 00:37:40,0.0
2021-03-10 00:38:00,
2021-03-10 00:38:20,0.0
2021-03-10 00:38:40,0.0
2021-03-10 00:39:00,0.0
2021-03-10 00:39:20,
2021-03-10 00:39:40,0.00535
2021-03-10 00:40:00,0.02675
2021-03-10 00:40:20,0.0
2021-03-10 00:40:40,0.0
2021-03-10 00:41:00,0.0
2021-03-10 00:41:20,0.0
2021-03-10 00:41:40,0.0428
2021-03-10 00:42:00,
2021-03-10 00:42:20,0.00535
2021-03-10 00:42:40,0.0
2021-03-10 00:43:00,
2021-03-10 00:43:20,0.0
2021-03-10 00:43:40,
2021-03-10 00:44:00,0.0
2021-03-10 00:44:20,0.0214
2021-03-10 00:44:40,0.00535
2021-03-10 00:45:00,0.0
2021-03-10 00:45:20,
2021-03-10 00:45:40,0.0
2021-03-10 00:46:00,0.007133333333333333
2021-03-10 00:46:20,0.0321
2021-03-10 00:46:40,0.0
2021-03-10 00:47:00,0.002675
2021-03-10 00:47:20,0.008025
2021-03-10 00:47:40,
2021-03-10 00:48:00,0.0
2021-03-10 00:48:20,0.0
2021-03-10 00:48:40,
2021-03-10 00:49:00,0.0035666666666666663
2021-03-10 00:49:20,0.0
2021-03-10 00:49:40,0.0
2021-03-10 00:50:00,
2021-03-10 00:50:20,0.0
2021-03-10 00:50:40,0.0
2021-03-10 00:51:00,0.0
2021-03-10 00:51:20,0.0015285714285714284
